date,n_assets,assets,turnover,transaction_cost,expected_return,volatility,sharpe_ratio,sortino_ratio,weights_sum
2022-03-01,14,"{'AAPL': 0.1955, 'MSFT': 0.027, 'NVDA': 0.1716, 'META': 0.0215, 'TSLA': 0.1019, 'JPM': 0.0452, 'UNH': 0.0302, 'WMT': 0.1641, 'XOM': 0.0278, 'PG': 0.052, 'CVX': 0.0151, 'MRK': 0.0713, 'ABBV': 0.0587, 'PEP': 0.0182}",0.191,0.000382,24.968,23.322,0.8991,1.1166,1.0
2022-04-01,14,"{'AAPL': 0.1649, 'MSFT': 0.0721, 'AMZN': 0.0095, 'NVDA': 0.1888, 'TSLA': 0.0996, 'JPM': 0.0586, 'V': 0.0095, 'UNH': 0.0671, 'JNJ': 0.0208, 'WMT': 0.1634, 'PG': 0.0309, 'CVX': 0.0095, 'MRK': 0.0344, 'ABBV': 0.0709}",0.1645,0.000329,25.782,24.039,0.9061,1.1304,1.0
2022-05-02,13,"{'AAPL': 0.1864, 'MSFT': 0.0791, 'AMZN': 0.0165, 'NVDA': 0.1816, 'TSLA': 0.0882, 'JPM': 0.0265, 'UNH': 0.0686, 'WMT': 0.1519, 'XOM': 0.0199, 'PG': 0.0556, 'HD': 0.0149, 'MRK': 0.069, 'ABBV': 0.0419}",0.131,0.000262,25.586,23.712,0.9103,1.1346,1.0
2022-06-01,15,"{'AAPL': 0.171, 'MSFT': 0.0434, 'GOOGL': 0.0095, 'AMZN': 0.0182, 'NVDA': 0.1753, 'META': 0.0095, 'TSLA': 0.1115, 'JPM': 0.0236, 'UNH': 0.0658, 'WMT': 0.1793, 'PG': 0.0529, 'HD': 0.0206, 'CVX': 0.0096, 'MRK': 0.0444, 'ABBV': 0.0654}",0.1103,0.000221,25.71,23.921,0.9075,1.137,1.0
2022-07-01,14,"{'AAPL': 0.1917, 'MSFT': 0.0513, 'GOOGL': 0.0102, 'NVDA': 0.1908, 'TSLA': 0.0617, 'JPM': 0.044, 'V': 0.0146, 'UNH': 0.0804, 'JNJ': 0.0088, 'WMT': 0.1507, 'XOM': 0.0239, 'PG': 0.0453, 'MRK': 0.0847, 'ABBV': 0.0418}",0.1675,0.000335,24.791,23.012,0.9035,1.1195,1.0
2022-08-01,15,"{'AAPL': 0.1822, 'MSFT': 0.0226, 'GOOGL': 0.0127, 'AMZN': 0.0091, 'NVDA': 0.1983, 'TSLA': 0.0772, 'JPM': 0.0553, 'V': 0.0091, 'UNH': 0.0468, 'WMT': 0.1947, 'PG': 0.0413, 'HD': 0.0091, 'MRK': 0.0631, 'ABBV': 0.0628, 'PEP': 0.0153}",0.1355,0.000271,25.407,23.327,0.9177,1.1467,1.0
2022-09-01,13,"{'AAPL': 0.212, 'MSFT': 0.0463, 'NVDA': 0.1729, 'TSLA': 0.0687, 'JPM': 0.0518, 'UNH': 0.059, 'JNJ': 0.0093, 'WMT': 0.1734, 'XOM': 0.0246, 'PG': 0.0519, 'CVX': 0.0093, 'MRK': 0.0976, 'ABBV': 0.0233}",0.1538,0.000308,24.483,22.603,0.9062,1.1202,1.0
2022-10-03,13,"{'AAPL': 0.1984, 'MSFT': 0.0702, 'NVDA': 0.1484, 'META': 0.023, 'TSLA': 0.0742, 'JPM': 0.0292, 'UNH': 0.0276, 'WMT': 0.1862, 'XOM': 0.0087, 'PG': 0.0587, 'MRK': 0.0778, 'ABBV': 0.0807, 'PEP': 0.017}",0.1464,0.000293,24.1,22.222,0.9045,1.1223,1.0
2022-11-01,14,"{'AAPL': 0.1865, 'MSFT': 0.0617, 'NVDA': 0.2102, 'META': 0.0301, 'TSLA': 0.0837, 'JPM': 0.0522, 'V': 0.009, 'UNH': 0.0266, 'JNJ': 0.009, 'WMT': 0.1675, 'PG': 0.0322, 'CVX': 0.0259, 'MRK': 0.0749, 'ABBV': 0.0306}",0.1454,0.000291,26.229,24.546,0.9056,1.1385,1.0
2022-12-01,15,"{'AAPL': 0.2004, 'MSFT': 0.0736, 'NVDA': 0.205, 'TSLA': 0.097, 'JPM': 0.0228, 'V': 0.0112, 'UNH': 0.0312, 'JNJ': 0.0125, 'WMT': 0.142, 'XOM': 0.01, 'PG': 0.0405, 'CVX': 0.0296, 'MRK': 0.0626, 'ABBV': 0.043, 'PEP': 0.0184}",0.1025,0.000205,26.297,24.599,0.9064,1.1365,1.0
